task,model,run,build_ok,test_ok,in_tok,out_tok,cost_usd,latency_s,workdir
data-bug1-sales-genre,Modelo A,2,True,True,470,305,0.0005,8.3,results\data-bug1-sales-genre__minimax_minimax-m3__r2
data-bug1-sales-genre,Modelo A,3,True,True,470,428,0.0007,15.2,results\data-bug1-sales-genre__minimax_minimax-m3__r3
data-bug1-sales-genre,Modelo C,1,True,True,312,324,0.0001,3.9,results\data-bug1-sales-genre__deepseek_deepseek-v4-flash__r1
data-bug1-sales-genre,Modelo C,2,True,True,312,176,0.0001,7.7,results\data-bug1-sales-genre__deepseek_deepseek-v4-flash__r2
data-bug1-sales-genre,Modelo C,3,True,True,312,176,0.0001,10.7,results\data-bug1-sales-genre__deepseek_deepseek-v4-flash__r3
data-bug1-sales-genre,Modelo B,1,True,True,298,1059,0.002,52.2,results\data-bug1-sales-genre__z-ai_glm-4.7__r1
data-bug1-sales-genre,Modelo B,2,True,True,298,972,0.0018,44.5,results\data-bug1-sales-genre__z-ai_glm-4.7__r2
data-bug1-sales-genre,Modelo B,3,True,True,298,968,0.0018,48.1,results\data-bug1-sales-genre__z-ai_glm-4.7__r3
data-feat1-customer-ranking,Modelo A,1,True,True,547,612,0.0009,10.4,results\data-feat1-customer-ranking__minimax_minimax-m3__r1
data-feat1-customer-ranking,Modelo A,2,True,True,547,697,0.001,13.1,results\data-feat1-customer-ranking__minimax_minimax-m3__r2
data-feat1-customer-ranking,Modelo A,3,True,True,547,621,0.0009,10.1,results\data-feat1-customer-ranking__minimax_minimax-m3__r3
data-feat1-customer-ranking,Modelo C,1,True,True,390,702,0.0002,5.6,results\data-feat1-customer-ranking__deepseek_deepseek-v4-flash__r1
data-feat1-customer-ranking,Modelo C,2,True,True,390,832,0.0002,9.4,results\data-feat1-customer-ranking__deepseek_deepseek-v4-flash__r2
data-feat1-customer-ranking,Modelo C,3,True,True,390,898,0.0002,9.5,results\data-feat1-customer-ranking__deepseek_deepseek-v4-flash__r3
data-feat1-customer-ranking,Modelo B,1,True,True,371,1625,0.003,20.3,results\data-feat1-customer-ranking__z-ai_glm-4.7__r1
data-feat1-customer-ranking,Modelo B,2,True,True,371,1418,0.0026,19.0,results\data-feat1-customer-ranking__z-ai_glm-4.7__r2
data-feat1-customer-ranking,Modelo B,3,True,True,371,1787,0.0033,54.0,results\data-feat1-customer-ranking__z-ai_glm-4.7__r3
